Укажите ваш опыт в программировании:,1. Наследование ,2. Декоратор,3. Фасад,4. Композиция,5. Делегация,6. Статические методы
ОТ 3 ДО 5 ЛЕТ,1,1,1,1,1,0
БОЛЕЕ 10 ЛЕТ,1,0,0,0,0,0
ОТ 3 ДО 5 ЛЕТ,1,1,0,0,0,0
ОТ 1 ДО 3 ЛЕТ,1,0,0,0,0,0
БОЛЕЕ 10 ЛЕТ,0,0,0,0,0,0
ОТ 3 ДО 5 ЛЕТ,1,0,0,0,0,0
ОТ 5 ДО 10 ЛЕТ,1,0,0,0,1,1
ОТ 1 ДО 3 ЛЕТ,1,0,0,1,0,0
ОТ 1 ДО 3 ЛЕТ,1,0,0,0,0,0
ОТ 3 ДО 5 ЛЕТ,1,1,0,0,0,0
ОТ 3 ДО 5 ЛЕТ,1,0,0,0,0,0
ОТ 1 ДО 3 ЛЕТ,1,0,0,0,0,1
ОТ 1 ДО 3 ЛЕТ,1,1,0,0,0,0
ОТ 1 ДО 3 ЛЕТ,1,1,0,0,0,0
ОТ 3 ДО 5 ЛЕТ,1,0,0,0,0,0
ОТ 1 ДО 3 ЛЕТ,1,1,0,1,1,0
ОТ 1 ДО 3 ЛЕТ,1,0,0,1,0,0
ОТ 1 ДО 3 ЛЕТ,1,0,1,0,0,1
ОТ 1 ДО 3 ЛЕТ,1,1,0,1,0,0
ОТ 3 ДО 5 ЛЕТ,1,1,0,0,0,0
БОЛЕЕ 10 ЛЕТ,1,0,0,0,0,0
ОТ 5 ДО 10 ЛЕТ,1,1,0,0,0,0
БОЛЕЕ 10 ЛЕТ,1,1,0,1,1,1
БОЛЕЕ 10 ЛЕТ,1,1,0,1,0,1
БОЛЕЕ 10 ЛЕТ,1,1,1,1,1,1
ОТ 5 ДО 10 ЛЕТ,1,0,0,1,1,0
ОТ 5 ДО 10 ЛЕТ,1,0,0,0,0,0
ОТ 5 ДО 10 ЛЕТ,1,0,0,0,0,0
ОТ 1 ДО 3 ЛЕТ,1,1,0,1,0,0
БОЛЕЕ 10 ЛЕТ,1,0,0,1,1,0
ОТ 5 ДО 10 ЛЕТ,1,0,0,0,0,1
ОТ 5 ДО 10 ЛЕТ,1,1,0,1,1,0
ОТ 5 ДО 10 ЛЕТ,1,1,0,0,0,0
БОЛЕЕ 10 ЛЕТ,1,0,0,0,0,0
ОТ 5 ДО 10 ЛЕТ,1,0,1,0,1,0
